,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
84,Martin Garrix,Google Play Music,['Google Play Music'],,2019-08-19T16:11:38.381Z,Listened to Burn Out (feat. Dewain Whitmore),,2019-08-19 16:11:38.381000+00:00,16
85,Don Diablo,Google Play Music,['Google Play Music'],,2019-08-19T16:08:18.034Z,Listened to Anthem (We Love House Music),,2019-08-19 16:08:18.034000+00:00,16
86,David Guetta,Google Play Music,['Google Play Music'],,2019-08-19T16:05:40.981Z,Listened to Lovers on the Sun (feat. Sam Martin),,2019-08-19 16:05:40.981000+00:00,16
87,Robin Schulz,Google Play Music,['Google Play Music'],,2019-08-19T16:02:17.470Z,Listened to Tonight And Every Night,,2019-08-19 16:02:17.470000+00:00,16
88,Kygo,Google Play Music,['Google Play Music'],,2019-08-19T15:56:43.909Z,Listened to Sunrise (feat. Jason Walker),,2019-08-19 15:56:43.909000+00:00,15
89,Bingo Players,Google Play Music,['Google Play Music'],,2019-08-19T15:53:09.098Z,Listened to Cry (Just A Little) (A-Trak And Phantoms Remix),,2019-08-19 15:53:09.098000+00:00,15
90,Tiësto,Google Play Music,['Google Play Music'],,2019-08-19T15:48:29.766Z,Listened to On My Way (feat. Bright Sparks),,2019-08-19 15:48:29.766000+00:00,15
91,Alesso,Google Play Music,['Google Play Music'],,2019-08-19T15:45:26.059Z,Listened to Years (feat. Matthew Koma),,2019-08-19 15:45:26.059000+00:00,15
92,Calvin Harris,Google Play Music,['Google Play Music'],,2019-08-19T15:42:10.592Z,Listened to Blame (feat. John Newman),,2019-08-19 15:42:10.592000+00:00,15
93,Klingande,Google Play Music,['Google Play Music'],,2019-08-19T15:38:37.599Z,Listened to Rebel Yell,,2019-08-19 15:38:37.599000+00:00,15
94,Martin Solveig,Google Play Music,['Google Play Music'],,2019-08-19T15:14:03.023Z,Listened to Intoxicated,,2019-08-19 15:14:03.023000+00:00,15
95,Swedish House Mafia,Google Play Music,['Google Play Music'],,2019-08-19T15:09:43.725Z,Listened to Don't You Worry Child (Radio Edit) (feat. John Martin),,2019-08-19 15:09:43.725000+00:00,15
