,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,A Little Love (MTV Unplugged Version),MTV Unplugged,Bryan Adams,202000,0,1,
0,A Love Song,The Essential Kenny Loggins,Loggins &amp; Messina,191000,0,1,
0,A Man Shaves His Balls,Feelin&#39; kinda Patton,Patton Oswalt,77000,0,1,
0,A Message,X&amp;Y,Coldplay,285359,0,1,
0,A Million Love Songs,Take That - Greatest Hits,Take That,232722,0,1,
0,A New Machine (Part 1) [2011 Remastered Version],A Momentary Lapse Of Reason,Pink Floyd,105000,0,1,
0,A Night Like This [128],Live At The BBC 1985,The Cure,286000,0,1,
0,A Night Out With Kanye West,Intimate Moments For A Sensual Evening,Aziz Ansari,241000,0,1,
0,A Reputation for Violence,From Across The Street,Doug Stanhope,207000,0,2,
0,A Swingin&#39; Safari (Remastered 2016),That Happy Feeling (Remastered 2016),Bert Kaempfert,187000,0,12,
0,A Thing Called Love,The Essential Jerry Reed,Jerry Reed,140000,0,2,
0,A Whole New Vader (feat. Ryan Todd),Sweet Sound of Smosh,Smosh,36000,0,1,
0,A Whole World Made for Me,In Real Life,Tryhardninja,202000,0,1,
0,A9,Dave Pearce Trance Anthems 2009,Ariel,194000,0,14,
0,AA Is A Poorly Constructed Cult And Doesn&#39;t Work,Before Turning The Gun On Himself...,Doug Stanhope,230000,0,2,
0,Abortion Is Green (Explicit),Oslo: Burning The Bridge To Nowhere (Explicit),Doug Stanhope,122000,0,2,
0,Abstract Art,"The Best of Jazz 200 Classics, Vol.6",Marty Paich Quartet,172000,0,1,
0,Ac3 (Killa Remix) [feat. Petey Wunder],Sweet Sound of Smosh,Smosh,240000,0,2,
0,Accept My Shaft,NSFW,Ninja Sex Party,254000,5,19,
0,Achilles heel,Onka&#39;s Big Moka,Toploader,257983,0,1,
0,Across the Alley from the Alamo,"The Best of Jazz 200 Classics, Vol.6",June Christy,134000,0,1,
0,"Adagio for Strings, Op. 11",Mellow Cello,Northern String Quartet,431000,0,9,
0,"Adagio for Strings, Op. 11",Ultimate Classical for Babies,Up North Session Orchestra,432000,0,2,
0,Adagio for Strings,Just Be,Tiësto,444326,0,1,
0,"Adagio From A Keyboard Concerto, BWV 974",Good Classic Vol. 1,Boris Svechenko,238000,0,1,
0,Adam: O Holy Night (Minuit Chrétien),Pavarotti The 50 Greatest Tracks,Luciano Pavarotti,254000,0,1,
0,Addicted To You (Avicii By Avicii),True: Avicii By Avicii,Avicii,331000,0,24,
0,Addicted To You,True,Avicii,148000,0,65,
0,Addicted to You,Love Songs,Beth,142000,0,4,
0,Adorable Racism,Tragedy Plus Comedy Equals Time,Patton Oswalt,314000,0,2,
0,Aerodynamic,Discovery,Daft Punk,207567,0,10,
0,Aerodynamic,Discovery,Daft Punk,207567,0,11,
0,After All (feat. Bryan Adams),To Be Loved,Michael Bublé,217000,0,3,
0,After All (Svenson &amp; Gielen Remix),Dave Pearce Trance Anthems 2009,Delerium,228000,0,5,
0,After You&#39;ve Gone,"The Best of Jazz 200 Classics, Vol.6",Dinah Wahshington,216000,0,1,
0,Afterglow,This Is Dance 2014,Wilkinson,225000,0,26,
0,Against All Odds (Take A Look At Me Now) [2016 Remastered],The Singles,Phil Collins,206000,0,7,
0,Against All Odds,Love Songs,Phil Collins,304000,0,2,
0,Age Of Love,Cream Ibiza Classics (Disc 3),The Age of Love,240000,0,1,
0,Ageing Superhero,Hand Built By Robots,Newton Faulkner,199000,0,2,Yes
0,Aggressive On A Bicycle,Thrilled,Tom Segura,173000,0,2,
0,"Aida, Act 2: &quot;Gloria all&#39;Egitto&quot; (Triumphal March)",The Greatest Classical Composers of Italy,"Chor der Staatsoper Dresden, Staatskapelle Dresden and Silvio Varviso",436000,0,6,
0,Ain&#39; T Nobody&#39;s Business If I Do,Best of Jazz 100 Classics,Bessie Smith,207000,0,1,
0,Ain&#39;t Got Far To Go,I Cry When I Laugh (Deluxe),Jess Glynne,203000,0,1,
0,Ain&#39;t Got the Blues,The Whippoorwill (3 Bonus Track UK/EU Edition),Blackberry Smoke,243000,0,1,
0,Ain&#39;t Much Left of Me,The Whippoorwill (3 Bonus Track UK/EU Edition),Blackberry Smoke,298000,0,1,
0,Ain&#39;t No Doubt,Return of the 90s,Jimmy Nail,247000,0,1,Yes
0,Ain&#39;t No Funki Tangerine,It&#39;s Beyond Our Control,Campag Velocet,487000,0,1,
0,Ain&#39;t No Sunshine,The Ultimate Collection,Bill Withers,124000,0,1,Yes
0,Airplane,My Weakness Is Strong (DMD Album),Patton Oswalt,416000,0,1,
0,Alabama Jubilee,The Essential Jerry Reed,Jerry Reed,179000,0,1,
0,Alabama Song ( Whisky Bar ),The Doors,The Doors,197000,0,2,
0,Alberta,Unplugged (Remastered),Eric Clapton,218000,0,2,
